,"('A', '_Time/us')","('A', '_Amplitude/mV')"
4721,94.4200000000151,65.09516854521245
4722,94.44000000001509,65.06074964831507
4723,94.4600000000151,65.02506999646442
4724,94.4800000000151,64.98813132887676
4725,94.5000000000151,64.94993540774986
4726,94.5200000000151,64.91048401820058
4727,94.54000000001511,64.86977896820162
4728,94.56000000001511,64.82782208851795
4729,94.58000000001512,64.78461523264293
4730,94.60000000001511,64.7401602767337
4731,94.62000000001512,64.69445911954638
4732,94.64000000001512,64.64751368237056
4733,94.66000000001513,64.59932590896348
4734,94.68000000001513,64.54989776548378
4735,94.70000000001514,64.49923124042482
4736,94.72000000001513,64.44732834454724
4737,94.74000000001514,64.39419111081175
4738,94.76000000001514,64.33982159431066
4739,94.78000000001515,64.28422187219965
4740,94.80000000001515,64.22739404362869
4741,94.82000000001516,64.16934022967276
4742,94.84000000001515,64.1100625732619
4743,94.86000000001516,64.0495632391113
4744,94.88000000001516,63.98784441365031
4745,94.90000000001517,63.92490830495162
4746,94.92000000001516,63.86075714265969
4747,94.94000000001517,63.79539317791894
4748,94.96000000001517,63.7288186833011
4749,94.98000000001518,63.66103595273313
4750,95.00000000001518,63.592047301423484
4751,95.02000000001519,63.521855065788976
4752,95.04000000001518,63.45046160338064
4753,95.0600000000152,63.37786929280967
4754,95.0800000000152,63.30408053367233
4755,95.1000000000152,63.22909774647514
4756,95.12000000001521,63.15292337255943
4757,95.1400000000152,63.075559874025075
4758,95.16000000001522,62.99700973365476
4759,95.18000000001521,62.9172754548369
4760,95.20000000001522,62.836359561488905
4761,95.22000000001522,62.754264597979684
4762,95.24000000001523,62.67099312905172
4763,95.26000000001522,62.58654773974332
4764,95.28000000001524,62.500931035309726
4765,95.30000000001523,62.41414564114448
4766,95.32000000001524,62.326194202700336
4767,95.34000000001524,62.237079385409224
4768,95.36000000001525,62.14680387460274
4769,95.38000000001524,62.055370375431814
4770,95.40000000001525,61.9627816127859
4771,95.42000000001525,61.86904033121225
4772,95.44000000001526,61.77414929483419
4773,95.46000000001526,61.67811128727016
4774,95.48000000001527,61.58092911155102
4775,95.50000000001526,61.48260559003819
4776,95.52000000001527,61.38314356434081
4777,95.54000000001527,61.28254589523277
4778,95.56000000001528,61.180815462569605
4779,95.58000000001527,61.07795516520461
4780,95.60000000001529,60.973967920905025
4781,95.62000000001528,60.868856666267945
4782,95.64000000001529,60.76262435663547
4783,95.66000000001529,60.655273966010064
4784,95.6800000000153,60.54680848696937
4785,95.7000000000153,60.4372309305805
4786,95.7200000000153,60.32654432631471
4787,95.7400000000153,60.21475172196082
4788,95.76000000001531,60.1018561835392
4789,95.7800000000153,59.98786079521511
4790,95.80000000001532,59.87276865921154
4791,95.82000000001531,59.75658289572221
4792,95.84000000001532,59.63930664282399
4793,95.86000000001532,59.52094305638915
4794,95.88000000001533,59.401495309997244
4795,95.90000000001532,59.280966594846845
4796,95.92000000001534,59.159360119666886
4797,95.94000000001533,59.036679110627986
4798,95.96000000001534,58.91292681125308
4799,95.98000000001534,58.78810648232833
4800,96.00000000001535,58.66222140181307
4801,96.02000000001534,58.535274864750505
4802,96.04000000001535,58.40727018317701
4803,96.06000000001535,58.27821068603216
4804,96.08000000001536,58.14809971906783
4805,96.10000000001536,58.01694064475748
4806,96.12000000001537,57.88473684220508
4807,96.14000000001536,57.75149170705362
4808,96.16000000001537,57.61720865139369
4809,96.18000000001537,57.48189110367171
4810,96.20000000001538,57.345542508597624
4811,96.22000000001538,57.20816632705317
4812,96.24000000001539,57.06976603599887
4813,96.26000000001538,56.930345128381745
4814,96.28000000001539,56.78990711304222
4815,96.30000000001539,56.648455514621254
4816,96.3200000000154,56.505993873466636
4817,96.3400000000154,56.36252574553999
4818,96.3600000000154,56.21805470232259
4819,96.3800000000154,56.07258433072196
4820,96.40000000001541,55.92611823297722
4821,96.4200000000154,55.77866002656515
4822,96.44000000001542,55.630213344105755
4823,96.46000000001541,55.4807818332675
4824,96.48000000001542,55.33036915667226
4825,96.50000000001542,55.17897899180077
4826,96.52000000001543,55.02661503089699
4827,96.54000000001543,54.87328098087307
4828,96.56000000001544,54.71898056321361
4829,96.58000000001543,54.563717513879894
4830,96.60000000001544,54.4074955832144
4831,96.62000000001544,54.250318535844414
4832,96.64000000001545,54.092190150585864
4833,96.66000000001544,53.933114220347264
4834,96.68000000001545,53.77309455203298
4835,96.70000000001545,53.612134966446675
4836,96.72000000001546,53.450239298194596
4837,96.74000000001546,53.28741139558851
4838,96.76000000001547,53.12365512054884
4839,96.78000000001546,52.958974348507255
4840,96.80000000001547,52.79337296830956
4841,96.82000000001547,52.62685488211815
4842,96.84000000001548,52.4594240053143
4843,96.86000000001548,52.29108426640078
4844,96.88000000001549,52.12183960690373
4845,96.90000000001548,51.95169398127483
4846,96.92000000001549,51.780651356793314
4847,96.94000000001549,51.608715713467795
4848,96.9600000000155,51.43589104393776
4849,96.9800000000155,51.26218135337561
4850,97.0000000000155,51.087590659387736
4851,97.0200000000155,50.91212299191633
4852,97.04000000001551,50.73578239314047
4853,97.0600000000155,50.55857291737734
4854,97.08000000001552,50.38049863098356
4855,97.10000000001553,50.201563612256166
4856,97.12000000001552,50.02177195133338
4857,97.14000000001553,49.84112775009584
4858,97.16000000001553,49.65963512206711
4859,97.18000000001554,49.47729819231457
4860,97.20000000001554,49.294121097350214
4861,97.22000000001555,49.11010798503088
4862,97.24000000001554,48.92526301445903
4863,97.26000000001555,48.73959035588329
4864,97.28000000001555,48.553094190598586
4865,97.30000000001556,48.365778710846705
4866,97.32000000001555,48.17764811971653
4867,97.34000000001556,47.98870663104419
4868,97.36000000001556,47.798958469313455
4869,97.38000000001557,47.608407869555585
4870,97.40000000001557,47.41705907724974
4871,97.42000000001558,47.22491634822286
4872,97.44000000001557,47.03198394854956
4873,97.46000000001558,46.83826615445265
